"","Open","Total"
"2023-04-05","5","5"
"2023-04-27","1","1"
"2024-07-29","6","6"
"2023-06-07","1","1"
"2024-10-10","1","1"
"2024-12-12","1","1"
"2023-11-12","1","1"
"2024-02-02","1","1"
"2023-12-13","3","3"
"2023-03-27","1","1"
"2023-04-06","1","1"
"2024-07-19","1","1"
"2024-11-12","3","3"
"2023-11-02","2","2"
"2023-12-14","5","5"
"2023-03-28","1","1"
"2025-01-24","1","1"
"2024-12-03","1","1"
"2023-11-03","2","2"
"2024-02-04","1","1"
"2024-02-26","1","1"
"2023-12-04","5","5"
"2023-03-29","1","1"
"2023-11-15","1","1"
"2025-04-28","1","1"
"2024-03-06","1","1"
"2024-10-25","1","1"
"2024-01-16","1","1"
"2024-12-27","3","3"
"2024-02-06","2","2"
"2023-12-06","1","1"
"2025-01-27","1","1"
"2023-10-27","2","2"
"2024-01-17","11","11"
"2023-11-06","6","6"
"2024-01-28","1","1"
"2023-12-07","3","3"
"2024-01-18","1","1"
"2023-12-08","1","1"
"2024-10-17","7","7"
"2024-10-28","1","1"
"2023-11-08","1","1"
"2024-10-18","1","1"
"2024-11-08","1","1"
"2024-07-30","1","1"
"2024-09-22","1","1"
"2024-09-23","1","1"
"2023-09-13","1","1"
"2023-03-30","6","6"
"2024-07-22","2","2"
"2024-08-01","1","1"
"2024-09-24","2","2"
"2023-03-31","9","9"
"2024-07-23","2","2"
"2023-06-01","1","1"
"2023-03-21","1","1"
"2024-07-25","1","1"
"2024-09-16","1","1"
"2023-09-06","2","2"
"2023-04-24","1","1"
"2024-07-26","1","1"
"2024-01-31","10","10"
"2024-02-21","2","2"
"2024-03-11","1","1"
"2023-03-23","2","2"
"2024-08-06","1","1"
"2024-10-30","1","1"
"2024-12-10","12","12"
"2023-10-20","3","3"
"2023-10-31","5","5"
"2024-03-01","4","4"
"2023-12-11","1","1"
"2021-11-01","1","1"
"2023-03-24","3","3"
"2023-04-26","2","2"
"2024-12-11","6","6"
"2025-03-12","2","2"
"2024-02-01","6","6"
"2023-12-12","8","8"